Title,Date
"Gangs of Wasseypur: Part 1","1/8/21"
"365 Days","1/8/21"
"Polar","1/8/21"
"300: Rise of an Empire","1/8/21"
"Sacred Games: Season 1: Ashwathama ","1/8/21"
"Yankee: Season 1: Aberrations","1/8/21"
"Love Aaj Kal","1/8/21"
"Breaking Bad: Season 1: And the Bag's in the River","1/8/21"
"Spartacus: War of the Damned: Enemies of Rome","1/7/21"
"Warrior Nun: Season 1: Psalm 46:5","1/7/21"
"Tales of the City: Limited Series: Coming Home","1/7/21"
"Yankee: Season 1: The Flight of Aeschylus","1/7/21"
"Spartacus: Gods of the Arena: Beneath the Mask","1/7/21"
"Spartacus: Gods of the Arena: Missio","1/7/21"
"Spartacus: Gods of the Arena: Paterfamilias","1/7/21"
"Ludo","1/7/21"
"Holidate","1/7/21"
"Raising Dion: Season 1: ISSUE #101: How Do You Raise a Superhero?","1/7/21"
"Dracula: Season 1: The Rules of the Beast","1/7/21"
"Spartacus: War of the Damned: Separate Paths","1/7/21"
"Vikings: Season 6: New Beginnings","1/7/21"
"Barbarians: Season 1: Wolf and Eagle","1/7/21"
"Spartacus: War of the Damned: Wolves at the Gate","1/6/21"
"Spartacus: Blood and Sand: Kill Them All","1/6/21"
"Spartacus: Blood and Sand: Revelations","1/6/21"
"Spartacus: Blood and Sand: Old Wounds","1/6/21"
"Spartacus: Blood and Sand: Party Favors","1/6/21"
"Spartacus: Blood and Sand: Whore","1/6/21"
"Spartacus: Blood and Sand: Mark of the Brotherhood","1/6/21"
"Spartacus: Blood and Sand: Great and Unfortunate Things","1/6/21"
"Spartacus: Blood and Sand: Delicate Things","1/6/21"
"Spartacus: Blood and Sand: Shadow Games","1/6/21"
"Spartacus: Blood and Sand: The Thing in the Pit","1/6/21"
"Spartacus: Blood and Sand: Legends","1/6/21"
"Spartacus: Blood and Sand: Sacramentum Gladiatorum","1/6/21"
"Spartacus: Blood and Sand: The Red Serpent","1/6/21"
"Spartacus: Gods of the Arena: Past Transgressions","1/6/21"
"Spartacus: Vengeance: Fugitivus","1/6/21"
"Spartacus: Gods of the Arena: The Bitter End","1/6/21"
"Spartacus: Gods of the Arena: Reckoning","1/6/21"
"Savages","1/6/21"
"Torbaaz","1/6/21"
"Naruto: Season 1: Chunin Challenge: Rock Lee vs. Sasuke!","1/6/21"
"The Man with the Iron Fists","1/5/21"
"Spartacus: War of the Damned: Mors Indecepta","1/5/21"
"Spartacus: War of the Damned: Spoils of War","1/5/21"
"Spartacus: War of the Damned: Blood Brothers","1/5/21"
"Spartacus: War of the Damned: Decimation","1/5/21"
"Spartacus: War of the Damned: Men of Honor","1/5/21"
"Sacred Games: Season 1: Sarama","1/4/21"
"Much Loved","1/4/21"
"Kingdom: Season 1: Episode 1","1/4/21"
"Bitter Daisies: Season 1: Through me...","1/4/21"
"Dead to Me: Season 1: Pilot","1/4/21"
"Bridgerton: Season 1: Shock and Delight","1/4/21"
"Spinning Out: Season 1: Proceed with Caution","1/4/21"
"Spinning Out: Season 1: Welcome to the Family","1/4/21"
"Bridgerton: Season 1: Diamond of the First Water","1/4/21"
"Newness","1/4/21"
"Workin' Moms: Season 1: Rules","1/4/21"
"Workin' Moms: Season 1: Pilot","1/4/21"
"Insatiable: Season 2: Pig","1/4/21"
"Everything Sucks!: Season 1: Plutonium","1/4/21"
"Jane The Virgin: Season 1: Chapter One: Pilot","1/4/21"
"THE UNLISTED: Season 1: Episode 2","1/3/21"
"THE UNLISTED: Season 1: Episode 1","1/3/21"
"Do Dooni Chaar","1/3/21"
"Jaoon Kahan Bata Ae Dil","1/3/21"
"AK vs AK","1/3/21"
"Shimla Mirchi","1/3/21"
"Huge in France: Season 1: Épisode Un","1/2/21"
"A Suitable Boy: Limited Series: Episode 1","1/2/21"
"A Suitable Boy: Limited Series: Episode 3","1/2/21"
"Monarca: Season 1: The Pruning","1/2/21"
"Cable Girls: Season 1: Chapter 1: Dreams","1/2/21"
"John Was Trying to Contact Aliens","1/2/21"
"Red Dawn","1/2/21"
"Occupied: Season 1: April","1/2/21"
"Dracula Untold","1/2/21"
"Chup Chup Ke","1/2/21"
"White Girl","1/1/21"
"Basic Instinct","1/1/21"
"We Can Be Heroes","1/1/21"
"The Last Summer","12/31/20"
"Queen Sono: Season 1: I Am Queen Sono","12/31/20"
