area_type,location,size,total_sqft,bath,balcony,price
Plot  Area,Ramamurthy Nagar,1 Bedroom,0,1,1,48
Built-up  Area,Arekere,9 Bedroom,0,9,0,265
Plot  Area,Sarjapur  Road,4 Bedroom,1,4,0,120
Built-up  Area,Srirampuram,7 BHK,5,7,3,115
Plot  Area,Suragajakkanahalli,3 Bedroom,11,3,2,74
Carpet  Area,Weavers Colony,1 BHK,15,1,0,30
Built-up  Area,Grihalakshmi Layout,5 Bedroom,24,2,2,150
Plot  Area,Mysore Road,1 Bedroom,45,1,0,23
Plot  Area,Whitefield,4 Bedroom,60,4,2,218
Super built-up  Area,Tilak Nagar,1 BHK,250,2,2,40
Built-up  Area,Gowdanapalya,5 BHK,258.3336,5,0,75
Plot  Area,Hennur Road,2 Bedroom,276,3,3,23
Super built-up  Area,Yelahanka New Town,1 BHK,284,1,1,8
Super built-up  Area, Bhoganhalli,1 RK,296,1,0,22.89
Carpet  Area,Nagarbhavi,1 BHK,300,1,1,20
Super built-up  Area,Malleshwaram,2 BHK,302,2,1,25
Plot  Area,Rajaji Nagar,4 Bedroom,315,4,2,90
Built-up  Area,Kengeri,1 BHK,340,1,1,10
Built-up  Area,Yelahanka New Town,1 BHK,350,1,1,13.5
Plot  Area,MM Layout,4 Bedroom,350,3,1,45
Built-up  Area, Anekal,1 RK,351,1,1,16
Super built-up  Area,Ramamurthy Nagar,1 BHK,360,1,1,26
Super built-up  Area,Electronics City Phase 1,1 RK,360,1,0,16.9
Plot  Area,Hosahalli Extension,2 Bedroom,360,2,1,40
Plot  Area,Lingarajapuram,4 Bedroom,360,4,3,37
Super built-up  Area,Kengeri,1 BHK,370.923994,1,0,18.5
Built-up  Area,Shampura,1 BHK,375,2,0,26
Built-up  Area,KG Halli,1 Bedroom,375,1,0,26
Plot  Area,BTM 1st Stage,1 Bedroom,375,1,0,40
Carpet  Area,Kanakpura Road,1 BHK,381,1,0,28
Carpet  Area,Kanakpura Road,1 BHK,381,1,1,28
Built-up  Area,Attibele,1 BHK,395,1,1,10.25
Plot  Area,Gangondanahalli,3 Bedroom,396,2,0,48
Plot  Area,Nagavara,1 Bedroom,400,1,0,14
Built-up  Area,Attibele,1 BHK,400,1,1,11
Built-up  Area,Attibele,1 BHK,400,1,1,12
Built-up  Area,Attibele,1 BHK,400,1,1,14
Plot  Area,Uttarahalli,5 Bedroom,400,5,1,200
Built-up  Area,Austin Town,1 BHK,400,1,0,14
Super built-up  Area,Attibele,1 BHK,400,1,1,10
Super built-up  Area,Kengeri,1 BHK,400,2,1,25
Built-up  Area,Yeshwanthpur,1 Bedroom,400,1,0,55
Built-up  Area,Kadarenahalli,1 Bedroom,400,1,0,35
Plot  Area,Devara Jeevanahalli,4 Bedroom,400,2,2,35
Built-up  Area,Attibele,1 BHK,400,1,1,11.5
Built-up  Area,Anekal,1 BHK,400,1,1,11.5
Plot  Area,Ramchandrapuram,1 Bedroom,400,2,1,50
Super built-up  Area,Kengeri,1 BHK,400,1,1,25
Plot  Area,Madiwala,1 Bedroom,400,1,1,75
Super built-up  Area,Attibele,1 BHK,400,1,1,10.25
Built-up  Area,Judicial Layout,5 Bedroom,405,6,3,400
Super built-up  Area,Kengeri Satellite Town,1 BHK,410,1,1,15
Built-up  Area,Attibele,1 BHK,410,1,1,10
Built-up  Area,Kengeri,1 BHK,410,1,1,15
Plot  Area,Moodalapalya,1 Bedroom,410,1,1,48
Super built-up  Area,Chandapura,1 BHK,410,1,1,10
Super built-up  Area, Rachenahalli,1 RK,412.5,1,0,19.8
Super built-up  Area,Venkatapura,1 BHK,416,1,1,18.5
Super built-up  Area,Kengeri,1 BHK,416,1,1,19.5
Super built-up  Area,Kengeri,1 BHK,416,1,1,18
Super built-up  Area,Kengeri,1 BHK,416,1,1,17.19
Built-up  Area,Attibele,1 BHK,418,1,1,12
Super built-up  Area,Attibele,1 BHK,418,2,1,11.5
Super built-up  Area,Electronic City,1 BHK,418,1,1,12
Super built-up  Area,Kodipalya,1 BHK,418,1,1,17
Super built-up  Area,Vasanthapura,2 BHK,420,2,0,35
Built-up  Area,Attibele,1 BHK,420,1,1,17
Built-up  Area,Raghuvanahalli,1 BHK,420,1,1,23.5
Super built-up  Area,Shanti Nagar,2 BHK,420,1,1,25
Built-up  Area,Anekal,1 BHK,420,1,1,12.5
Built-up  Area,P&T Colony,1 BHK,425,1,0,20.03
Built-up  Area,Raghuvanahalli,1 BHK,425,1,1,750
Super built-up  Area,Alur,1 BHK,425,1,1,15
Plot  Area,Srirampuram,2 Bedroom,432,2,1,40
Plot  Area,Rajaji Nagar,2 Bedroom,432,2,1,65
Built-up  Area, Electronic City,1 RK,435,1,1,19.5
Super built-up  Area,Electronic City,1 BHK,435,1,1,21
Super built-up  Area,Electronic City,1 BHK,435,1,1,22
Super built-up  Area,Yelahanka New Town,1 BHK,440,1,1,16.5
Super built-up  Area, Rachenahalli,1 RK,440,1,0,28
Plot  Area,Bhuvaneshwari Nagar,3 Bedroom,440,3,0,50
Built-up  Area,Magadi Road,1 Bedroom,440,1,0,35
Super built-up  Area,Rachenahalli,1 BHK,440,1,1,28
Plot  Area,Nagavara,3 Bedroom,440,3,1,35
Super built-up  Area, Thanisandra,1 RK,445,1,0,28
Super built-up  Area,Attibele,1 BHK,450,1,1,11
Plot  Area,Kurubarahalli,4 Bedroom,450,3,1,53
Super built-up  Area,Kuvempu Nagar,1 BHK,450,1,1,25
Built-up  Area,Lingarajapuram,1 BHK,450,1,2,60
Built-up  Area,Attibele,1 BHK,450,1,1,12.5
Built-up  Area,Yelahanka New Town,1 BHK,450,1,0,16
Built-up  Area,Kodichikkanahalli,1 BHK,450,1,1,18
Built-up  Area,Chandapura,1 BHK,450,1,1,9
Super built-up  Area,Yelahanka New Town,1 BHK,450,1,1,15
Plot  Area,Kamakshipalya,1 Bedroom,450,1,0,30
Super built-up  Area,BTM Layout,1 BHK,450,1,1,20
Plot  Area,Ulsoor,3 Bedroom,450,3,1,70
Built-up  Area,Hulimavu,1 BHK,450,1,1,20
Super built-up  Area,Harsha Layout,1 BHK,450,1,1,20
Super built-up  Area,8th Phase JP Nagar,1 BHK,451,1,0,29.9
Super built-up  Area,Anekal,1 BHK,456,1,1,15
Carpet  Area,Kanakpura Road,1 BHK,458,1,0,19.695
Carpet  Area,Kanakpura Road,1 BHK,458,1,0,33.66
Built-up  Area,Kaval Byrasandra,2 BHK,460,1,0,22
Super built-up  Area,Belathur,2 BHK,460,1,0,15
