	Feb/27/2020 10:10UTC+5.5	Ashish_purbey	A - Watermelon	GNU C++17	Wrong answer on test 5	62 ms	0 KB
71929652	Feb/26/2020 22:46UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Wrong answer on test 11	156 ms	400 KB
71929608	Feb/26/2020 22:45UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Compilation error	0 ms	0 KB
71929510	Feb/26/2020 22:43UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Wrong answer on test 9	216 ms	400 KB
71929375	Feb/26/2020 22:41UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Compilation error	0 ms	0 KB
71928880	Feb/26/2020 22:33UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Wrong answer on test 9	156 ms	400 KB
71926536	Feb/26/2020 21:51UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Wrong answer on test 9	186 ms	400 KB
71914862	Feb/26/2020 18:27UTC+5.5	Ashish_purbey	B - Books	GNU C++17	Time limit exceeded on test 9	2000 ms	800 KB
71914772	Feb/26/2020 18:25UTC+5.5	Ashish_purbey	B - Books	MS C++	Compilation error	0 ms	0 KB
71913090	Feb/26/2020 17:55UTC+5.5	Ashish_purbey	B - Books	MS C++	Compilation error	0 ms	0 KB
71912452	Feb/26/2020 17:44UTC+5.5	Ashish_purbey	B - Books	MS C++	Compilation error	0 ms	0 KB
71909185	Feb/26/2020 16:39UTC+5.5	Ashish_purbey	B - Books	MS C++	Wrong answer on test 1	30 ms	0 KB
71909010	Feb/26/2020 16:35UTC+5.5	Ashish_purbey	B - Books	MS C++	Compilation error	0 ms	0 KB
71903605	Feb/26/2020 14:34UTC+5.5	Ashish_purbey	B - Books	MS C++	Wrong answer on test 1	0 ms	0 KB
71903434	Feb/26/2020 14:28UTC+5.5	Ashish_purbey	B - Books	MS C++	Wrong answer on test 8	62 ms	0 KB
71878228	Feb/26/2020 00:01UTC+5.5	Ashish_purbey	B - Books	MS C++	Wrong answer on test 4	30 ms	0 KB
71878101	Feb/25/2020 23:59UTC+5.5	Ashish_purbey	B - Books	MS C++	Wrong answer on test 4	30 ms	0 KB
69504373	Jan/25/2020 13:25UTC+5.5	Ashish_purbey	B - Ciel and Flowers	MS C++	Wrong answer on test 10	62 ms	0 KB
