WatchedDate,tmdbID,imdbID,Title,Year
,330459,tt3748528,Rogue One: A Star Wars Story,2016
,177572,tt2245084,Big Hero 6,2014
,1891,tt0080684,The Empire Strikes Back,1980
,1894,tt0121765,Star Wars: Episode II - Attack of the Clones,2002
,335984,tt1856101,Blade Runner 2049,2017
,920,tt0317219,Cars,2006
,205596,tt2084970,The Imitation Game,2014
,324786,tt2119532,Hacksaw Ridge,2016
,16869,tt0361748,Inglourious Basterds,2009
,374720,tt5013056,Dunkirk,2017
,228150,tt2713180,Fury,2014
,600,tt0093058,Full Metal Jacket,1987
,429351,tt1413492,12 Strong,2018
,967,tt0054331,Spartacus,1960
,515001,tt2584384,Jojo Rabbit,2019
,197,tt0112573,Braveheart,1995
,190859,tt2179136,American Sniper,2014
,281957,tt1663202,The Revenant,2015
,333484,tt2404435,The Magnificent Seven,2016
,188161,tt2557490,A Million Ways to Die in the West,2014
,44896,tt1192628,Rango,2011
,429,tt0060196,"The Good, the Bad and the Ugly",1966
,8487,tt0120891,Wild Wild West,1999
,324560,tt1895315,Brimstone,2016
,529203,tt2850386,The Croods: A New Age,2020
,140607,tt2488496,Star Wars: The Force Awakens,2015
,70160,tt1392170,The Hunger Games,2012
,101299,tt1951264,The Hunger Games: Catching Fire,2013
,57158,tt1170358,The Hobbit: The Desolation of Smaug,2013
,315837,tt1219827,Ghost in the Shell,2017
,13475,tt0796366,Star Trek,2009
,562,tt0095016,Die Hard,1988
,313369,tt3783958,La La Land,2016
,165,tt0096874,Back to the Future Part II,1989
,37165,tt0120382,The Truman Show,1998
,131631,tt1951265,The Hunger Games: Mockingjay - Part 1,2014
,131634,tt1951266,The Hunger Games: Mockingjay - Part 2,2015
,680,tt0110912,Pulp Fiction,1994
,752,tt0434409,V for Vendetta,2006
,296524,tt1860357,Deepwater Horizon,2016
,376659,tt4651520,Bad Moms,2016
,156022,tt0455944,The Equalizer,2014
,181812,tt2527338,Star Wars: The Rise of Skywalker,2019
,530915,tt8579674,1917,2019
,296096,tt2674426,Me Before You,2016
,12155,tt1014759,Alice in Wonderland,2010
,316029,tt1485796,The Greatest Showman,2017
,45612,tt0945513,Source Code,2011
,401981,tt2873282,Red Sparrow,2018
,577922,tt6723592,Tenet,2020
,404368,tt5848272,Ralph Breaks the Internet,2018
,420809,tt4777008,Maleficent: Mistress of Evil,2019
,13,tt0109830,Forrest Gump,1994
,450465,tt6823368,Glass,2019
,64682,tt1343092,The Great Gatsby,2013
,87,tt0087469,Indiana Jones and the Temple of Doom,1984
,82690,tt1772341,Wreck-It Ralph,2012
,77,tt0209144,Memento,2000
,59967,tt1276104,Looper,2012
,85,tt0082971,Raiders of the Lost Ark,1981
,745,tt0167404,The Sixth Sense,1999
,346672,tt3717252,Underworld: Blood Wars,2016
,496,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
,545609,tt8936646,Extraction,2020
,280217,tt3513498,The Lego Movie 2: The Second Part,2019
,188927,tt2660888,Star Trek Beyond,2016
,341013,tt2406566,Atomic Blonde,2017
,110415,tt1706620,Snowpiercer,2013
,205584,tt2404233,Gods of Egypt,2016
,59859,tt1650554,Kick-Ass 2,2013
,38700,tt1502397,Bad Boys for Life,2020
,396535,tt5700672,Train to Busan,2016
,253412,tt2719848,Everest,2015
,338762,tt1634106,Bloodshot,2020
,134374,tt1980209,Pain & Gain,2013
,834,tt0401855,Underworld: Evolution,2006
,408647,tt6315800,Teen Titans: The Judas Contract,2017
,438590,tt5709188,A-X-L,2018
,455043,tt6083388,God of War,2017
,223702,tt1700841,Sausage Party,2016
,348350,tt3778644,Solo: A Star Wars Story,2018
,62,tt0062622,2001: A Space Odyssey,1968
,861,tt0100802,Total Recall,1990
,447404,tt5884052,Pokémon Detective Pikachu,2019
,10191,tt0892769,How to Train Your Dragon,2010
,89,tt0097576,Indiana Jones and the Last Crusade,1989
,82702,tt1646971,How to Train Your Dragon 2,2014
,466272,tt7131622,Once Upon a Time… in Hollywood,2019
,260514,tt3606752,Cars 3,2017
,400160,tt4823776,The SpongeBob Movie: Sponge on the Run,2020
,120467,tt2278388,The Grand Budapest Hotel,2014
,35,tt0462538,The Simpsons Movie,2007
,138832,tt1723121,We're the Millers,2013
,103,tt0075314,Taxi Driver,1976
,553604,tt1838556,Honest Thief,2020
,385332,tt4463816,Terminal,2018
,10782,tt0264395,Basic,2003
,210577,tt2267998,Gone Girl,2014
,274,tt0102926,The Silence of the Lambs,1991
,489,tt0119217,Good Will Hunting,1997
,346685,tt3631112,The Girl on the Train,2016
,97630,tt1790885,Zero Dark Thirty,2012
,37958,tt1253864,Immortals,2011
,12225,tt0460740,Cashback,2006
,10802,tt0114436,Showgirls,1995
,400650,tt5028340,Mary Poppins Returns,2018
,44912,tt1133985,Green Lantern,2011
,379291,tt5091548,Justice League vs. Teen Titans,2016
,505262,tt7745068,My Hero Academia: Two Heroes,2018
,592350,tt11107074,My Hero Academia: Heroes Rising,2019
,537996,tt6412452,The Ballad of Buster Scruggs,2018
,50619,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,2011
,166428,tt2386490,How to Train Your Dragon: The Hidden World,2019
,345887,tt3766354,The Equalizer 2,2018
,12222,tt0451079,Horton Hears a Who!,2008
,428078,tt1571234,Mortal Engines,2018
,335797,tt3470600,Sing,2016
,601,tt0083866,E.T. the Extra-Terrestrial,1982
,39538,tt1598778,Contagion,2011
,277,tt0320691,Underworld,2003
,522938,tt1206885,Rambo: Last Blood,2019
,174,tt0102975,Star Trek VI: The Undiscovered Country,1991
,10222,tt0097659,Kickboxer,1989
,138697,tt2229499,Don Jon,2013
,522518,tt8385474,A Dog's Journey,2019
,9701,tt0395972,North Country,2005
,490132,tt6966692,Green Book,2018
,68726,tt1663662,Pacific Rim,2013
,9741,tt0217869,Unbreakable,2000
,787,tt0356910,Mr. & Mrs. Smith,2005
,63,tt0114746,Twelve Monkeys,1995
,431693,tt5814534,Spies in Disguise,2019
,72387,tt1656190,Safe,2012
,449924,tt2076298,Ip Man 4: The Finale,2019
,146233,tt1392214,Prisoners,2013
,274854,tt1618442,The Last Witch Hunter,2015
,176,tt0387564,Saw,2004
,398978,tt1302006,The Irishman,2019
,7485,tt0822854,Shooter,2007
,273481,tt3397884,Sicario,2015
,268896,tt2557478,Pacific Rim: Uprising,2018
,376867,tt4975722,Moonlight,2016
,524047,tt7737786,Greenland,2020
,340102,tt4682266,The New Mutants,2020
,201,tt0253754,Star Trek: Nemesis,2002
,300671,tt4172430,13 Hours: The Secret Soldiers of Benghazi,2016
,40777,tt1667838,I Hate Luv Storys,2010
